module	path	proposed_tier	confidence	source_markers	reusable_markers	public_declaration_count	direct_project_imports	required_action	proposed_canonical_family	cross_lane_dependency	rationale
NumStability.Algorithms.Ch10Theorem108Componentwise	NumStability/Algorithms/Ch10Theorem108Componentwise.lean	source	high	name_locator=Ch10;name_process_word=;located_declarations=13;declarations=13;doc_numbered_refs=6;doc_higham_refs=3;doc_book_refs=7;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=0;public_declarations=7;definitional_declarations=2;doc_generality_refs=1;reusable_tier_imports=3	7	3	plan_source_extraction	NumStability.Source.Higham.Chapter10	none	Numbered Higham Chapter 10 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 7 of 7 public declarations carry a numbered locator or source process word (for example higham10_8_normalized_componentwise_resolvent). Proposed canonical destination NumStability.Source.Higham.Chapter10 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch10Theorem108Source	NumStability/Algorithms/Ch10Theorem108Source.lean	source	high	name_locator=Ch10;name_process_word=;located_declarations=32;declarations=32;doc_numbered_refs=5;doc_higham_refs=1;doc_book_refs=12;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=0;public_declarations=32;definitional_declarations=9;doc_generality_refs=0;reusable_tier_imports=1	32	1	plan_source_extraction	NumStability.Source.Higham.Chapter10	none	Numbered Higham Chapter 10 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 32 of 32 public declarations carry a numbered locator or source process word (for example higham10_8_sourceKappa2). Proposed canonical destination NumStability.Source.Higham.Chapter10 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14AsymptoticFamilies	NumStability/Algorithms/Ch14AsymptoticFamilies.lean	source	high	name_locator=Ch14;name_process_word=;located_declarations=24;declarations=36;doc_numbered_refs=7;doc_higham_refs=2;doc_book_refs=3;doc_display_refs=11;source_tier_imports=0	neutral_public_declarations=10;public_declarations=34;definitional_declarations=13;doc_generality_refs=0;reusable_tier_imports=1	34	1	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 24 of 34 public declarations carry a numbered locator or source process word (for example Ch14Eq143Family). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 4 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14BlockTriInverse	NumStability/Algorithms/Ch14BlockTriInverse.lean	source	high	name_locator=Ch14;name_process_word=;located_declarations=19;declarations=19;doc_numbered_refs=8;doc_higham_refs=10;doc_book_refs=3;doc_display_refs=9;source_tier_imports=0	neutral_public_declarations=0;public_declarations=19;definitional_declarations=8;doc_generality_refs=1;reusable_tier_imports=6	19	6	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 19 of 19 public declarations carry a numbered locator or source process word (for example ch14ext_blk11). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 3 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14Cor146UniformInverseBridge	NumStability/Algorithms/Ch14Cor146UniformInverseBridge.lean	source	high	name_locator=Ch14;name_process_word=Bridge;located_declarations=3;declarations=3;doc_numbered_refs=3;doc_higham_refs=0;doc_book_refs=0;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=0;public_declarations=3;definitional_declarations=1;doc_generality_refs=0;reusable_tier_imports=2	3	2	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 3 of 3 public declarations carry a numbered locator or source process word (for example ch14ext_nonsingInv_family_isBigOOne_of_tendsto). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	NumStability/Algorithms/Ch14Cor147FinalDivisionFamilyClosure.lean	source	high	name_locator=Ch14;name_process_word=Closure;located_declarations=33;declarations=33;doc_numbered_refs=8;doc_higham_refs=2;doc_book_refs=6;doc_display_refs=12;source_tier_imports=0	neutral_public_declarations=0;public_declarations=33;definitional_declarations=11;doc_generality_refs=0;reusable_tier_imports=2	33	2	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 33 of 33 public declarations carry a numbered locator or source process word (for example Ch14Cor147FinalizedRunFamily). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14Cor147SourceDomainConstructor	NumStability/Algorithms/Ch14Cor147SourceDomainConstructor.lean	source	high	name_locator=Ch14;name_process_word=;located_declarations=3;declarations=3;doc_numbered_refs=3;doc_higham_refs=1;doc_book_refs=2;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=0;public_declarations=3;definitional_declarations=1;doc_generality_refs=0;reusable_tier_imports=3	3	3	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 3 of 3 public declarations carry a numbered locator or source process word (for example ch14ext_cor147FinalizedRunFamily_exists_of_source_domain). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14Corollary146Closure	NumStability/Algorithms/Ch14Corollary146Closure.lean	source	high	name_locator=Ch14;name_process_word=Closure;located_declarations=88;declarations=88;doc_numbered_refs=15;doc_higham_refs=6;doc_book_refs=14;doc_display_refs=9;source_tier_imports=0	neutral_public_declarations=0;public_declarations=88;definitional_declarations=25;doc_generality_refs=0;reusable_tier_imports=2	88	2	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 88 of 88 public declarations carry a numbered locator or source process word (for example ch14ext_cor146_abs_constructedQ_le_abs_U_add). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 3 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14Corollary146Concrete	NumStability/Algorithms/Ch14Corollary146Concrete.lean	source	high	name_locator=Ch14;name_process_word=;located_declarations=10;declarations=10;doc_numbered_refs=6;doc_higham_refs=4;doc_book_refs=3;doc_display_refs=4;source_tier_imports=0	neutral_public_declarations=0;public_declarations=10;definitional_declarations=3;doc_generality_refs=0;reusable_tier_imports=2	10	2	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 10 of 10 public declarations carry a numbered locator or source process word (for example ch14ext_cor146_absLU_eq_absRT_absR). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14Corollary146SourceClosure	NumStability/Algorithms/Ch14Corollary146SourceClosure.lean	source	high	name_locator=Ch14;name_process_word=SourceClosure;located_declarations=22;declarations=22;doc_numbered_refs=9;doc_higham_refs=2;doc_book_refs=6;doc_display_refs=1;source_tier_imports=0	neutral_public_declarations=0;public_declarations=22;definitional_declarations=7;doc_generality_refs=0;reusable_tier_imports=2	22	2	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 22 of 22 public declarations carry a numbered locator or source process word (for example ch14ext_cor146Source_envelope_le_printed_add_correction). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14Corollary147	NumStability/Algorithms/Ch14Corollary147.lean	source	high	name_locator=Ch14;name_process_word=;located_declarations=9;declarations=9;doc_numbered_refs=35;doc_higham_refs=5;doc_book_refs=14;doc_display_refs=14;source_tier_imports=0	neutral_public_declarations=0;public_declarations=9;definitional_declarations=0;doc_generality_refs=0;reusable_tier_imports=1	9	1	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 9 of 9 public declarations carry a numbered locator or source process word (for example ch14ext_cor147_condU_infNorm_le). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 3 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14Corollary147Closure	NumStability/Algorithms/Ch14Corollary147Closure.lean	source	high	name_locator=Ch14;name_process_word=Closure;located_declarations=15;declarations=15;doc_numbered_refs=13;doc_higham_refs=1;doc_book_refs=6;doc_display_refs=2;source_tier_imports=0	neutral_public_declarations=0;public_declarations=15;definitional_declarations=4;doc_generality_refs=0;reusable_tier_imports=2	15	2	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 15 of 15 public declarations carry a numbered locator or source process word (for example ch14ext_rowDiagDominant_firstSchurComplement). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 5 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14Corollary147Concrete	NumStability/Algorithms/Ch14Corollary147Concrete.lean	source	high	name_locator=Ch14;name_process_word=;located_declarations=18;declarations=18;doc_numbered_refs=5;doc_higham_refs=2;doc_book_refs=7;doc_display_refs=6;source_tier_imports=0	neutral_public_declarations=0;public_declarations=18;definitional_declarations=3;doc_generality_refs=1;reusable_tier_imports=3	18	3	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 18 of 18 public declarations carry a numbered locator or source process word (for example ch14ext_cor147ComputedProduct). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14Corollary147SourceClosure	NumStability/Algorithms/Ch14Corollary147SourceClosure.lean	source	high	name_locator=Ch14;name_process_word=SourceClosure;located_declarations=59;declarations=59;doc_numbered_refs=9;doc_higham_refs=2;doc_book_refs=7;doc_display_refs=3;source_tier_imports=0	neutral_public_declarations=0;public_declarations=59;definitional_declarations=15;doc_generality_refs=0;reusable_tier_imports=2	59	2	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 59 of 59 public declarations carry a numbered locator or source process word (for example Ch14Cor147SourceFamily). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 3 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14Corollary147WeakFamily	NumStability/Algorithms/Ch14Corollary147WeakFamily.lean	source	high	name_locator=Ch14;name_process_word=;located_declarations=43;declarations=43;doc_numbered_refs=8;doc_higham_refs=0;doc_book_refs=7;doc_display_refs=2;source_tier_imports=0	neutral_public_declarations=0;public_declarations=43;definitional_declarations=9;doc_generality_refs=0;reusable_tier_imports=4	43	4	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 43 of 43 public declarations carry a numbered locator or source process word (for example Ch14MatrixFamilyIsBigO). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14ForwardErrorEndpoint	NumStability/Algorithms/Ch14ForwardErrorEndpoint.lean	source	high	name_locator=Ch14;name_process_word=Endpoint;located_declarations=44;declarations=44;doc_numbered_refs=9;doc_higham_refs=10;doc_book_refs=6;doc_display_refs=14;source_tier_imports=0	neutral_public_declarations=0;public_declarations=39;definitional_declarations=11;doc_generality_refs=1;reusable_tier_imports=2	39	2	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 39 of 39 public declarations carry a numbered locator or source process word (for example ch14ext_pull_eps_double_sum). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14GJEActualDoolittleAdapter	NumStability/Algorithms/Ch14GJEActualDoolittleAdapter.lean	source	high	name_locator=Ch14;name_process_word=Actual;located_declarations=6;declarations=6;doc_numbered_refs=10;doc_higham_refs=0;doc_book_refs=0;doc_display_refs=0;source_tier_imports=0	neutral_public_declarations=0;public_declarations=6;definitional_declarations=4;doc_generality_refs=0;reusable_tier_imports=2	6	2	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 6 of 6 public declarations carry a numbered locator or source process word (for example ch14ext_gjeActualDoolittleL). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 1 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14GJEAsymptoticFamilies	NumStability/Algorithms/Ch14GJEAsymptoticFamilies.lean	source	high	name_locator=Ch14;name_process_word=;located_declarations=29;declarations=29;doc_numbered_refs=2;doc_higham_refs=1;doc_book_refs=0;doc_display_refs=7;source_tier_imports=0	neutral_public_declarations=0;public_declarations=15;definitional_declarations=3;doc_generality_refs=0;reusable_tier_imports=2	15	2	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 15 of 15 public declarations carry a numbered locator or source process word (for example ch14ext_matrixFamily_mul_family_isBigOOne). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 3 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14GJEFinalDivisionClosure	NumStability/Algorithms/Ch14GJEFinalDivisionClosure.lean	source	high	name_locator=Ch14;name_process_word=Closure;located_declarations=81;declarations=81;doc_numbered_refs=28;doc_higham_refs=12;doc_book_refs=21;doc_display_refs=29;source_tier_imports=0	neutral_public_declarations=0;public_declarations=81;definitional_declarations=25;doc_generality_refs=14;reusable_tier_imports=3	81	3	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 81 of 81 public declarations carry a numbered locator or source process word (for example ch14ext_gjeBeforeFinalDivision). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 4 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14GJEOperationalBridge	NumStability/Algorithms/Ch14GJEOperationalBridge.lean	source	high	name_locator=Ch14;name_process_word=Operational;located_declarations=41;declarations=41;doc_numbered_refs=4;doc_higham_refs=5;doc_book_refs=3;doc_display_refs=1;source_tier_imports=0	neutral_public_declarations=0;public_declarations=41;definitional_declarations=16;doc_generality_refs=1;reusable_tier_imports=1	41	1	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 41 of 41 public declarations carry a numbered locator or source process word (for example ch14ext_gjeSourceComputedOutput). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	NumStability/Algorithms/Ch14GJEPrintedEnvelopeClosure.lean	source	high	name_locator=Ch14;name_process_word=Printed;located_declarations=36;declarations=36;doc_numbered_refs=0;doc_higham_refs=7;doc_book_refs=9;doc_display_refs=9;source_tier_imports=0	neutral_public_declarations=0;public_declarations=29;definitional_declarations=10;doc_generality_refs=1;reusable_tier_imports=1	29	1	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 29 of 29 public declarations carry a numbered locator or source process word (for example Ch14GJEPrintedEnvelopeFamily). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14GJESourceAccumulationBridge	NumStability/Algorithms/Ch14GJESourceAccumulationBridge.lean	source	high	name_locator=Ch14;name_process_word=Bridge;located_declarations=3;declarations=3;doc_numbered_refs=2;doc_higham_refs=3;doc_book_refs=2;doc_display_refs=9;source_tier_imports=0	neutral_public_declarations=0;public_declarations=3;definitional_declarations=0;doc_generality_refs=2;reusable_tier_imports=1	3	1	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 3 of 3 public declarations carry a numbered locator or source process word (for example ch14ext_gje_stage2_forward_error_of_accumulation_14_29). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 3 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14GJETheorem145SourceClosure	NumStability/Algorithms/Ch14GJETheorem145SourceClosure.lean	source	high	name_locator=Ch14;name_process_word=SourceClosure;located_declarations=32;declarations=32;doc_numbered_refs=6;doc_higham_refs=9;doc_book_refs=9;doc_display_refs=9;source_tier_imports=0	neutral_public_declarations=0;public_declarations=32;definitional_declarations=14;doc_generality_refs=1;reusable_tier_imports=2	32	2	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 32 of 32 public declarations carry a numbered locator or source process word (for example ch14ext_gjeSourceV). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 3 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14GaussJordanAccumulation	NumStability/Algorithms/Ch14GaussJordanAccumulation.lean	source	high	name_locator=Ch14;name_process_word=;located_declarations=30;declarations=30;doc_numbered_refs=8;doc_higham_refs=16;doc_book_refs=6;doc_display_refs=36;source_tier_imports=0	neutral_public_declarations=0;public_declarations=30;definitional_declarations=6;doc_generality_refs=0;reusable_tier_imports=3	30	3	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 30 of 30 public declarations carry a numbered locator or source process word (for example ch14ext_absCumProd). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 2 direct consumer(s) at the frozen base.
NumStability.Algorithms.Ch14GaussJordanQConstruction	NumStability/Algorithms/Ch14GaussJordanQConstruction.lean	source	high	name_locator=Ch14;name_process_word=;located_declarations=93;declarations=93;doc_numbered_refs=11;doc_higham_refs=27;doc_book_refs=25;doc_display_refs=47;source_tier_imports=0	neutral_public_declarations=0;public_declarations=93;definitional_declarations=21;doc_generality_refs=0;reusable_tier_imports=4	93	4	plan_source_extraction	NumStability.Source.Higham.Chapter14	none	Numbered Higham Chapter 14 correspondence: the module documentation frames the file as formalising or auditing printed source material, and 93 of 93 public declarations carry a numbered locator or source process word (for example ch14ext_gjeMultVec_self). Proposed canonical destination NumStability.Source.Higham.Chapter14 with an import-only compatibility wrapper preserved at the historical path; 7 direct consumer(s) at the frozen base.
