module	path	planned_action	outcome	rationale
NumStability.Algorithms.OuterProduct	NumStability/Algorithms/OuterProduct.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.PriestAccuracy	NumStability/Algorithms/PriestAccuracy.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.PriestDefectBounded	NumStability/Algorithms/PriestDefectBounded.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.PriestFiniteFormat	NumStability/Algorithms/PriestFiniteFormat.lean	classify;split	split_with_compatibility	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.Quadrature	NumStability/Algorithms/Quadrature.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.RankOneUpdate	NumStability/Algorithms/RankOneUpdate.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.SquareDifference	NumStability/Algorithms/SquareDifference.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.TreeDotProduct	NumStability/Algorithms/TreeDotProduct.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.TriangularArbitraryOrder	NumStability/Algorithms/TriangularArbitraryOrder.lean	classify;document;migrate;split	split_with_compatibility	Exact unclassified inventory; dependency wave W02.
NumStability.Algorithms.TriangularNoGuard	NumStability/Algorithms/TriangularNoGuard.lean	classify;migrate;split	split_with_compatibility	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.AlternativeNumberSystems	NumStability/Analysis/AlternativeNumberSystems.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.BeneficialRounding	NumStability/Analysis/BeneficialRounding.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.BrentBaseOptimality	NumStability/Analysis/BrentBaseOptimality.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.Chopping	NumStability/Analysis/Chopping.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.ComplexArithmetic	NumStability/Analysis/ComplexArithmetic.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.ComplexSqrt	NumStability/Analysis/ComplexSqrt.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.ConditionEstimatorLowerBound	NumStability/Analysis/ConditionEstimatorLowerBound.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.CramersRule	NumStability/Analysis/CramersRule.lean	classify;split	split_with_compatibility	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.DoubleRounding	NumStability/Analysis/DoubleRounding.lean	classify;split	split_with_compatibility	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.Error	NumStability/Analysis/Error.lean	classify;split	split_with_compatibility	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.FiniteProbability	NumStability/Analysis/FiniteProbability.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.FirstOrderFramework	NumStability/Analysis/FirstOrderFramework.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.FusedMultiplyAdd	NumStability/Analysis/FusedMultiplyAdd.lean	classify;split	split_with_compatibility	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.Heron	NumStability/Analysis/Heron.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.HighamChapter7	NumStability/Analysis/HighamChapter7.lean	classify;migrate;outlier_review;rename;split	split_with_compatibility	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.HighamChapter7Rectangular	NumStability/Analysis/HighamChapter7Rectangular.lean	classify;migrate;rename	split_with_compatibility	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.MatrixConcentration	NumStability/Analysis/MatrixConcentration.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.MatrixSpectral	NumStability/Analysis/MatrixSpectral.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.Midpoint	NumStability/Analysis/Midpoint.lean	classify;split	split_with_compatibility	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.Monotonicity	NumStability/Analysis/Monotonicity.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.Nonassociativity	NumStability/Analysis/Nonassociativity.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.ProblemDependentStability	NumStability/Analysis/ProblemDependentStability.lean	classify;split	split_with_compatibility	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.Quadratic	NumStability/Analysis/Quadratic.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.RelativePrecision	NumStability/Analysis/RelativePrecision.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.RoundingProductBounds	NumStability/Analysis/RoundingProductBounds.lean	classify;split	split_with_compatibility	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.SampleVariance	NumStability/Analysis/SampleVariance.lean	classify;split	split_with_compatibility	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.SemiconvergentBlockFormExists	NumStability/Analysis/SemiconvergentBlockFormExists.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.SemiconvergentExistenceComplete	NumStability/Analysis/SemiconvergentExistenceComplete.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.SemiconvergentExistenceFull	NumStability/Analysis/SemiconvergentExistenceFull.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.SemiconvergentExistenceGaps	NumStability/Analysis/SemiconvergentExistenceGaps.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.SemiconvergentLimitGeneral	NumStability/Analysis/SemiconvergentLimitGeneral.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.SemiconvergentRealSpectrumComplete	NumStability/Analysis/SemiconvergentRealSpectrumComplete.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.SemiconvergentSpectral	NumStability/Analysis/SemiconvergentSpectral.lean	classify;document	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.Stability	NumStability/Analysis/Stability.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.StatisticalRounding	NumStability/Analysis/StatisticalRounding.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.TieRules	NumStability/Analysis/TieRules.lean	classify	canonical_in_place	Exact unclassified inventory; dependency wave W02.
NumStability.Analysis.TrigCancellation	NumStability/Analysis/TrigCancellation.lean	classify;split	split_with_compatibility	Exact unclassified inventory; dependency wave W02.
